                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.5121,                 1.2773,                 1.8885,                0.55513,                0.51487,                 0.5175,                0.20296,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.4942,                 1.2382,                 1.8556,                 0.5971,                0.51829,                0.52783,                0.21458,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.4688,                 1.2271,                 1.8447,                0.60471,                0.51829,                 0.5247,                0.20019,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.4783,                 1.2154,                 1.8406,                0.63679,                 0.5061,                0.53548,                 0.2107,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.4566,                 1.1838,                 1.8281,                0.57621,                0.51626,                0.52765,                0.20921,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.4384,                 1.1918,                 1.8268,                0.61989,                 0.5122,                0.53294,                0.20456,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.4483,                 1.1814,                 1.8288,                0.61463,                 0.4939,                0.52548,                0.21226,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.4188,                 1.1331,                 1.7975,                0.60486,                0.51423,                0.53076,                0.21195,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.4241,                 1.1301,                 1.7658,                0.58325,                0.52846,                 0.5185,                0.19859,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.3896,                 1.1095,                 1.7558,                0.57326,                0.52236,                0.52514,                0.20678,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.3735,                 1.0883,                 1.7478,                0.64646,                0.47154,                0.52619,                0.20953,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.3765,                 1.0966,                 1.7678,                0.61347,                    0.5,                0.52697,                0.20594,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                  1.355,                 1.0579,                 1.7388,                  0.585,                0.50203,                0.52927,                0.21216,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 1.3501,                 1.0588,                 1.7347,                0.63695,                0.48171,                0.52287,                0.20452,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.3311,                 1.0331,                 1.7081,                0.61901,                0.47561,                0.51892,                0.20354,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                  1.322,                 1.0335,                 1.7086,                0.63528,                 0.4567,                0.50044,                0.19299,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.2842,                 1.0033,                 1.6801,                0.59728,                0.50203,                0.54419,                0.21176,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.2926,                 1.0084,                 1.6914,                0.60696,                0.50533,                 0.5293,                0.21366,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.2819,                0.99451,                 1.6695,                0.57147,                0.51829,                 0.5116,                0.20296,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.2902,                0.98213,                 1.6672,                0.56139,                0.52236,                0.53198,                0.20399,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.2665,                0.97913,                 1.6612,                0.60698,                    0.5,                0.52554,                0.20071,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.2634,                0.96149,                 1.6568,                0.55531,                0.55081,                0.50835,                0.19597,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                 1.2477,                0.93121,                 1.6268,                0.60726,                 0.4878,                0.51686,                  0.199,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.2457,                0.96009,                 1.6451,                0.57578,                0.52642,                0.53227,                0.21494,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.2141,                0.91225,                 1.6031,                0.59333,                0.53252,                0.53268,                0.20936,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                  1.203,                0.90887,                 1.5945,                0.61883,                0.48984,                0.52022,                0.18853,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.2076,                0.91354,                 1.5917,                0.62602,                0.52056,                0.55037,                0.21781,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.1979,                0.90365,                 1.5935,                0.60713,                0.49627,                0.52332,                0.20731,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 1.1815,                0.87352,                 1.5768,                0.57205,                 0.5061,                0.51584,                0.20627,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                 1.1769,                0.86925,                 1.5761,                0.61539,                    0.5,                0.52551,                0.21025,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                 1.1281,                0.84876,                  1.545,                0.65136,                    0.5,                0.56437,                0.21943,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                 1.1497,                0.85741,                 1.5555,                0.62784,                    0.5,                0.53855,                0.21192,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 1.1607,                0.85259,                 1.5513,                0.62482,                0.51423,                0.54311,                0.21264,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.1361,                0.84565,                 1.5338,                0.55543,                0.53327,                0.53627,                0.21348,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 1.1217,                0.84739,                 1.5266,                0.62032,                 0.5061,                0.52613,                0.21012,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                 1.1078,                0.81795,                 1.5008,                0.57686,                0.52439,                0.52087,                0.20871,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 1.1022,                0.82229,                 1.5177,                0.54519,                0.56301,                0.53073,                0.20818,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 1.0853,                 0.8139,                 1.5044,                0.58906,                0.50986,                0.51876,                0.20284,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 1.0943,                0.79318,                 1.4936,                0.60276,                0.52236,                0.53475,                0.21227,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                 1.0743,                0.79329,                 1.4797,                0.61671,                0.50407,                0.52456,                0.20772,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                 1.0661,                0.78122,                 1.4675,                0.58229,                 0.4939,                0.50664,                0.20345,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                 1.0554,                0.76646,                  1.464,                0.59434,                0.50813,                0.53774,                0.21612,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                 1.0413,                0.75718,                 1.4504,                0.59802,                0.50407,                 0.5361,                0.21392,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
